,Singapore,Vietnam,Turkey,China,India,Cape Town,Suez Canal
Singapore,0.0,7.015241809247098,0.0,33.538839330519004,29.219547236116373,99.99689891240295,82.75006005470617
Vietnam,7.020927136508344,0.0,0.0,17.892014652365237,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,57.85618313305767,0.0,83.91518856745932,1.0010336958656814
China,33.542457266048885,17.88994726063388,57.85773367685619,0.0,0.0,0.0,0.0
India,29.22445729147836,0.0,0.0,0.0,0.0,90.1617850641521,44.15468040698481
Cape Town,100.0,0.0,83.91622226332498,0.0,90.15997609638714,0.0,0.0
Suez Canal,82.75109375057184,0.0,1.0,0.0,44.150804047488506,0.0,0.0
