,Singapore,Vietnam,Turkey,China,India,Cape Town,Suez Canal
Singapore,0.0,7.1005056687517145,0.0,33.75942604559159,29.28563709118978,100.0,82.75103791914869
Vietnam,7.1005056687517145,0.0,0.0,17.992068329152165,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,91.56567388558304,0.0,84.32146534999391,1.0
China,33.75942604559159,17.992068329152165,91.56567388558304,0.0,0.0,0.0,0.0
India,29.28563709118978,0.0,0.0,0.0,0.0,90.34058994384553,44.0776281518038
Cape Town,100.0,0.0,84.32146534999391,0.0,90.34058994384553,0.0,0.0
Suez Canal,82.75103791914869,0.0,1.0,0.0,44.0776281518038,0.0,0.0
