From/To,Singapore,Vietnam,Turkey,China,India,Cape Town,Suez Canal
Singapore,0.0,5.444345400727583,62.338574994485995,20.586383523550914,25.192411587253694,88.13606546143333,62.338574994485995
Vietnam,5.444345400727583,0.0,59.700225085158934,15.142038122823331,22.554061677926637,93.58041086216093,59.700225085158934
Turkey,62.338574994485995,59.700225085158934,0.0,50.500954328622186,37.146163407232294,64.42064878307347,0.0
China,20.586383523550914,15.142038122823331,50.500954328622186,0.0,20.462835278446246,100.0,50.500954328622186
India,25.192411587253694,22.554061677926637,37.146163407232294,20.462835278446246,0.0,79.53716472155375,37.146163407232294
Cape Town,88.13606546143333,93.58041086216093,64.42064878307347,100.0,79.53716472155375,0.0,64.42064878307347
Suez Canal,62.338574994485995,59.700225085158934,0.0,50.500954328622186,37.146163407232294,64.42064878307347,0.0
